City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,mangrol,21.1167,70.1167,32.43,40,5,1.4,IN,1698196716
340,fortuna,40.5982,-124.1573,11.19,92,40,2.06,US,1698158236
341,fowler,36.6305,-119.6785,18.33,79,0,1.54,US,1698156847
342,lerwick,60.1545,-1.1494,10.0,84,94,4.87,GB,1698217690
343,tralee,52.2704,-9.7026,5.14,100,0,1.03,IE,1698218449
344,baraolt,46.0751,25.6003,16.42,61,100,1.28,RO,1698209245
345,geraldton,-28.7667,114.6,26.23,50,0,10.29,AU,1698183312
346,vilyuysk,63.7553,121.6247,-4.44,95,100,2.24,RU,1698189003
347,belen,36.4891,36.2233,17.08,64,0,0.51,TR,1698205852
348,bairnsdale,-37.8333,147.6167,12.81,59,93,2.68,AU,1698174702
349,atamyrat,37.8357,65.2106,25.09,26,89,6.64,TM,1698198995
350,polazna,58.2946,56.4055,-1.34,75,24,3.72,RU,1698203494
351,i-n-salah,27.1935,2.4607,27.27,26,100,3.61,DZ,1698213321
352,vangaindrano,-23.35,47.6,27.8,70,46,2.13,MG,1698199736
353,cestos city,5.46,-9.5828,24.84,89,100,1.18,LR,1698215013
354,george town,5.4112,100.3354,30.97,70,40,4.63,MY,1698188630
355,hengchun,22.0042,120.7439,27.9,67,72,4.1,TW,1698184612
356,ban su-ngai pa di,6.0724,101.8717,36.55,53,96,1.58,TH,1698188295
357,dumas,35.8656,-101.9732,18.63,55,0,5.66,US,1698238994
358,acapulco de juarez,16.8634,-99.8901,24.01,93,100,10.34,MX,1698237291
359,olavarria,-36.8927,-60.3225,5.7,78,23,1.8,AR,1698224645
360,bhimunipatnam,17.8833,83.4333,30.73,60,35,2.41,IN,1698193339
361,menongue,-14.6585,17.691,21.1,70,85,3.07,AO,1698207419
362,mirabela,-16.2628,-44.1644,23.48,37,49,0.87,BR,1698222169
